iter	Passed	Remaining
0	141	140892
1	145	72495
2	149	49749
3	155	38663
4	160	31856
5	163	27163
6	169	24006
7	174	21579
8	178	19616
9	183	18151
10	188	16987
11	193	15895
12	197	14971
13	202	14279
14	206	13559
15	210	12941
16	215	12452
17	220	12014
18	225	11640
19	230	11273
20	235	10970
21	239	10667
22	246	10478
23	252	10274
24	257	10027
25	261	9784
26	267	9649
27	271	9440
28	275	9241
29	282	9139
30	287	8973
31	291	8805
32	296	8683
33	301	8554
34	305	8412
35	308	8273
36	314	8196
37	319	8077
38	323	7960
39	328	7875
40	332	7787
41	337	7690
42	341	7593
43	346	7526
44	350	7436
45	354	7345
46	358	7277
47	363	7215
48	367	7137
49	371	7059
50	378	7035
51	382	6967
52	386	6898
53	391	6859
54	397	6836
55	401	6764
56	406	6720
57	412	6695
58	417	6661
59	423	6628
60	428	6600
61	433	6564
62	438	6524
63	445	6515
64	449	6470
65	454	6435
66	459	6400
67	463	6356
68	467	6308
69	473	6295
70	478	6254
71	482	6220
72	488	6202
73	493	6175
74	497	6136
75	501	6097
76	506	6076
77	510	6035
78	514	5999
79	519	5970
80	524	5947
81	528	5916
82	532	5884
83	537	5866
84	541	5833
85	546	5805
86	552	5797
87	557	5775
88	562	5762
89	570	5766
90	574	5742
91	579	5716
92	584	5704
93	589	5680
94	594	5664
95	599	5649
96	605	5637
97	610	5616
98	616	5606
99	623	5609
100	628	5593
101	635	5597
102	640	5576
103	644	5548
104	648	5526
105	653	5513
106	657	5485
107	661	5459
108	667	5460
109	672	5441
110	676	5417
111	682	5412
112	686	5392
113	690	5368
114	694	5345
115	700	5338
116	704	5318
117	710	5309
118	717	5310
119	721	5289
120	724	5265
121	729	5252
122	734	5235
123	738	5216
124	742	5197
125	749	5199
126	753	5179
127	757	5158
128	763	5153
129	767	5135
130	771	5116
131	775	5102
132	780	5091
133	784	5070
134	788	5050
135	794	5047
136	798	5032
137	802	5014
138	807	5002
139	813	4994
140	819	4989
141	826	4992
142	831	4981
143	835	4963
144	838	4945
145	843	4936
146	847	4918
147	851	4902
148	855	4888
149	860	4875
150	864	4860
151	868	4843
152	873	4834
153	877	4819
154	881	4806
155	885	4789
156	890	4783
157	894	4767
158	898	4754
159	902	4739
160	908	4732
161	912	4720
162	916	4704
163	920	4694
164	925	4684
165	929	4671
166	933	4657
167	940	4657
168	945	4648
169	950	4641
170	957	4642
171	962	4632
172	967	4625
173	973	4619
174	977	4606
175	981	4593
176	986	4586
177	990	4571
178	993	4558
179	997	4546
180	1004	4544
181	1008	4531
182	1012	4518
183	1017	4512
184	1022	4502
185	1026	4491
186	1033	4493
187	1037	4481
188	1041	4468
189	1045	4458
190	1052	4456
191	1056	4445
192	1060	4432
193	1064	4423
194	1069	4413
195	1072	4400
196	1077	4391
197	1084	4391
198	1088	4383
199	1093	4373
200	1100	4374
201	1105	4367
202	1110	4358
203	1117	4362
204	1122	4352
205	1126	4342
206	1134	4345
207	1138	4335
208	1142	4323
209	1149	4324
210	1153	4313
211	1157	4300
